delta_e,delta_t,delta_a,delta_r
0.04511176761397585,0.09999999008840423,3.163466182965826e-16,5.973417671568039e-16
0.045106881574062486,0.09999999008965474,4.205947084212012e-16,7.94870409903717e-16
0.04510590250808306,0.09999999009092887,6.299561517980674e-16,1.1910728447417817e-15
0.04510799331705823,0.09999999009222758,6.304254029435856e-16,1.1917006903662321e-15
0.04511203881409881,0.09999999009355084,6.809505180338998e-16,1.3147067837239735e-15
0.045116922040432626,0.09999999009489921,4.928234049789975e-16,1.066497846504717e-15
0.04512170482720395,0.09999999009627325,7.098189828479527e-16,1.4600804171200984e-15
0.04512571890353407,0.0999999900976736,6.767910518356088e-16,1.4101122226811047e-15
0.045128586134832435,0.09999999009906589,5.088327056129428e-16,1.021595080376444e-15
0.045130184284490164,0.09999999010052085,4.1981703872648063e-16,8.318406895159473e-16
0.04513059811433397,0.09999999003700505,4.4223997804339527e-16,8.765878118649387e-16
0.04513002857195151,0.09999999003755375,3.4987014528790137e-16,6.615755492352294e-16
0.04512875777099367,0.0999999900381133,3.895395939190011e-16,8.488322742839362e-16
0.045127072899614006,0.099999990038684,2.913058978848468e-16,6.655382982094706e-16
0.04512522377475849,0.09999999010832923,1.9041971856677295e-16,5.653039983664928e-16
0.04512344337715679,0.0999999901099605,2.566902903634106e-16,6.79424421304521e-16
0.04512186865434276,0.0999999901116261,-6.367325874716772e-16,-1.1400335507600143e-15
0.04512059278344925,0.09999999011332683,-4.92081139268511e-16,-8.951623816915695e-16
0.04511965916332261,0.09999999011506357,-6.311920955930865e-16,-1.0873641739708292e-15
0.04511907459959191,0.09999999011681111,-6.193969679914421e-16,-1.0622241656814375e-15
0.04511881538702668,0.09999999011862465,-4.759434441956132e-16,-7.217755302901706e-16
0.045118848556603176,0.09999999012047694,-5.242651837180227e-16,-7.385653430060435e-16
0.045119134223769834,0.09999999012236914,-5.262374426086023e-16,-7.379530663249651e-16
0.04511963392599539,0.0999999901243024,-5.279951931726459e-16,-7.402451652910984e-16
0.04512031462547043,0.09999999012627793,-5.291523375021369e-16,-7.417945234054711e-16
0.04512115054088623,0.09999999012829701,-5.2494283080524455e-16,-7.362670429353173e-16
0.045122123345584915,0.099999990130361,-1.8432360513143842e-16,-2.290100811784349e-16
0.04512322129752733,0.09999999013247127,-4.505707881586822e-16,-5.595955439737247e-16
0.04512443780814831,0.09999999013462929,-3.178570433959977e-16,-5.993883188682773e-16
0.04512576985061437,0.09999999013683657,-6.2640445570592635e-16,-1.1865396877197425e-15
0.045127216484806304,0.09999999013909472,-6.282453891724815e-16,-1.1889406143983228e-15
0.04512877765954622,0.09999999014140537,-6.280443790957059e-16,-1.1886761530464042e-15
0.04513045335558851,0.09999999014377028,-6.271395942190523e-16,-1.1875017485532429e-15
0.04513224306244169,0.09999999014619125,-5.249373575806901e-16,-1.1019396688036187e-15
0.0451341455382009,0.09999999014867017,-3.2643029866015664e-16,-9.497800083701467e-16
0.04513615878010829,0.09999999015120903,-4.443273980060477e-16,-9.633000561093474e-16
0.04513828013125161,0.09999999015380988,-3.9564043653543376e-16,-8.948449552893041e-16
0.04514050645656861,0.09999999015647491,-3.790749365904641e-16,-8.729691434780118e-16
0.045142834336355776,0.0999999901592064,-3.9779037315581743e-16,-9.655191112905917e-16
0.045145260242089785,0.09999999016200668,4.0999945126423426e-17,-3.4186926241520505e-16
